Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","035","South-eastern Asia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","74.885944","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","81.513461","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","85.536703","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","90.176837","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","95.089195","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","98.973514","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","103.661974","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","105.756464","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","109.356884","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","111.434468","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","116.60435","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","119.280508","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","42.71589","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","44.038414","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","45.504233","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","46.350929","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","49.003901","A","Aggregate, may include official, semi-official, estimated or calculated data",""
